Title,,GMD,,,,Publisher,,,Type of book,Call #,?,Publishing city,Call #,?,?,?,Author,Category,Item
Euphorbia,rbia,Text,,,,Kanisius,2010,,Pengetahuan,580,,Yogyakarta,580,,,,<Arie W Purwanto >,<Pengetahuan Dewasa>,<T703775>
Evan & Jack Berteman Dengan Laut,Laut,Text,,,,Gramedia Pustaka Utama,2007,,Edutivity,813,,Jakarta,813,,,,<Nico Wijaya >,<Cerita Anak>,<T704551>
Even If It Kills Me ( Diet Abis _ Abisan ),an ),Text,,,,Gramedia Pustaka Utama,2006,,Teenlit,823,,Jakarta,823,,,,<Dorothy Joan Harris>,<Novel / Fiksi>,<T701054>
Even If It Kills Me ( Diet Abis _ Abisan ) - c2,#VALUE!,Text,,,,Gramedia Pustaka Utama,2006,,Teenlit,823,,Jakarta,823,,,,<Dorothy Joan Harris>,<Novel / Fiksi>,<T701055>
Evening Calm,Calm,Text,,,,Elex Media Komputindo,2008,,Komik,741.3,,Jakarta,741.3,,,,<Seiko Yuguchi >,<Komik Bergambar>,<T704525>
Extravagant Worship,ship,Text,,,,Immanuel,2003,,Buku Rohani,242,,Jakarta,242,,,,<Darlene Zschech>,<Buku Rohani>,<T703864>
Fabel Aesop,esop,Text,,,,Quality Press,,,Fabel Aesop,823,,,823,,,,<Graeme Kent>,<Cerita Anak>,<T700100>
Facing Your Giants,ants,Text,,,,Gloria Graffa,2008,,Buku Rohani,248,,Yogyakarta,248,,,,<Max Lucado>,<Buku Rohani>,<T702871>
Failing Forward,ward,Text,,,,Interaksara,2001,,Buku Rohani,241,,Batam,241,,,,<John C Maxwell>,<Buku Rohani>,<T702863>
Family Story Collection,tion,Text,,,,Gramedia Pustaka Utama,2007,,Disney's,813,,Jakarta,813,,,,<Sheryl Kahn>,<Cerita Anak>,<T700511>
Fancy Cookies,kies,Text,,,,Gramedia Pustaka Utama,2008,,Resep Andalan Ny Liem,641.8,,Jakarta,641.8,,,,<Chendhawati>,<Masak-kue>,<T700647>
Fancy Decorated Cookies,kies,Text,,,,Gramedia Pustaka Utama,2007,,Kreatifitas,745.5,,Jakarta,745.5,,,,<Indriani >,<Aktivitas - Umum>,<T703971>
Farm (Peternakan),kan),Text,,,,Gramedia Pustaka Utama,2008,,Lihat Sekelilingmu,636,,Jakarta,636,,,,<Anna Casalis >,<Pengetahuan Anak>,<T704228>
Fashion Photoshop,shop,Text,,,,Elex Media Komputindo,2010,,Grafik,770,,Jakarta,770,,,,<Friza Reihan >,<Umum>,<T704239>
Fauna & Flora,lora,Text,,,,Tiga Serangkai,2007,,Ensiklopedia Pengetahuan,30,,Solo,30,,,,<Rosana Hariyanti>,<Pengetahuan Dewasa>,<T700512>
Favorite Modern Cake,Cake,Text,,,,Gramedia Pustaka Utama,2008,,Resep Andalan Ny Liem,641.8,,Jakarta,641.8,,,,<Chendhawati>,<Masak-kue>,<T700648>
Fe meets a Ghost (Fe bertemu hantu),ntu),Text,,,,Gemar Pustaka Capricorn,2011,,Cerita Anak,813,,Jakarta,813,,,,<Dian Kristiani>,<Cerita Anak>,<T704724>
Fearfully and Wonderfully Made,Made,Text,,,,Interaksara,2001,,Buku Rohani,233,,Batam,233,,,,<Paul Brand><Philip Yancey >,<Buku Rohani>,<T703862>
Feather Fin, Fin,Text,,,,Allice Saputra Communications,,,Seri Serendipity,823,,,823,,,,<Stephen Cosgrove>,<Cerita Anak>,<T700119>
Femina,mina,Text,,,,Gaya Favorit Press,,,Resep Masakan,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703942>
Femina - c2,#VALUE!,Text,,,,Gaya Favorit Press,,,Resep Masakan,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703943>
Field Guide to Bible Promises,ises,Text,,,,Zonderkids,2001,,Cerita Anak Rohani,249,,Michigan,249,,,,<Helen Haidle >,<Buku Rohani>,<T703863>
Figure Star,Star,Text,,,,m & c,2008,,Komik,741.3,,Jakarta,741.3,,,,<Masami Nagareda >,<Komik Bergambar>,<T704521>
Filipina,pina,Text,,,,Elex Media Komputindo,2010,,Seri Wisata Asean,910.2,,Jakarta,910.2,,,,<Mega Marlova >,<Pengetahuan Anak>,<T703562>
Find Chaffy,affy,Text,,,,PT. Gramedia Pustaka Utama,2011,,Cerita Anak,793.7,,Jakarta,793.7,,,,<Jamie Smart>,<Cerita Anak>,<T704702>
Finding Nemo (Menemukan Nemo),emo),Text,,,,Gramedia Pustaka Utama,2006,,Seri Pustaka Kecil,813,,Jakarta,813,,,,<Scott Tilley>,<Cerita Anak>,<T700465>
Fisika Star Trek,Trek,Text,,,,Kepustakaan Populer Gramedia,2001,,Pengetahuan Anak,530,,Jakarta,530,,,,<Lawrence M. Krauss>,<Pengetahuan Anak>,<T702050>
Fliks Perfect Gift (Hadiah Yang Terindah),dah),Text,,,,Gramedia Pustaka Utama,,,Seri Pustaka Awal,823,,,823,,,,<Judy Katschke>,<Cerita Anak>,<T700065>
Florence Nightingale,gale,Text,,,,Elex Media Komputindo,2006,,Seri Tokoh Dunia,923,,Jakarta,923,,,,<Klara Siauw>,<Pengetahuan Anak>,<T700378>
Florence Nightingale,gale,Text,,,,Elex Media Komputindo,2008,,Seri Tokoh Dunia,923,,Jakarta,923,,,,<Si Swe Cen>,<Pengetahuan Anak>,<T702821>
Flu Babi,Babi,Text,,,,Grasindo,2009,,Buku Saku Praktis,614.5,,Jakarta,614.5,,,,<Abdi Susanto>,<Pengetahuan Dewasa>,<T702533>
Flutterby,erby,Text,,,,Allice Saputra Communications,,,Seri Serendipity,823,,,823,,,,<Stephen Cosgrove>,<Cerita Anak>,<T700123>
Flying White Ant (Laron),ron),Text,,,,Bestari Buana Murni,2007,,Animal Around Us,595.7,,Jakarta,595.7,,,,<Setiawan G Sasongko >,<Pengetahuan Anak>,<T703576>
Foghorn Leghorn Don't Ger Near The Dog, Dog,Text,,,,Gramedia Pustaka Utama,2003,,Looney Tunes,823,,Jakarta,823,,,,<Tim Penulis>,<Cerita Anak>,<T702930>
Foghorn yang Usil,Usil,Text,,,,Dian Rakyat,1994,,Bugs Bunny,823,,Jakarta,823,,,,<Tim Penulis            >,<Cerita Anak>,<T701990>
Forgive to Live,Live,Text,,,,Gloria Graffa,2010,,Buku Rohani,248,,Yogyakarta,248,,,,<Dick Tibbits >,<Buku Rohani>,<T704470>
Foxy Rubah Ekor Perak,erak,Text,,,,Bestari Kids,2009,,Seri Fabel Mancanegara,398.5,,Jakarta,398.5,,,,<Koko Nata>< Rahmat Cecep >,<Cerita Anak>,<T703430>
Foxy Rubah Ekor Perak,erak,Text,,,,Bestari Kids,2009,,Seri Fabel Mancanegara,813,,Jakarta,813,,,,<Koko Nata>< Rahmat Cecep >,<Cerita Anak>,<T703589>
Franklin & Hujan Badai,adai,Text,,,,Kanisius,,,Franklin,823,,,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700074>
Franklin & Kamarnya,rnya,Text,,,,Kanisius,,,Franklin,823,,,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700083>
Franklin & Peri Gigi,Gigi,Text,,,,Kanisius,,,Franklin,823,,,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700082>
Franklin Berbohong,hong,Text,,,,Kanisius,,,Franklin,823,,,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700354>
Franklin Berbohong,hong,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702707>
Franklin Berbohong - c2,#VALUE!,Text,,,,Kanisius,ke-11,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T701364>
Franklin Bermain Drama,rama,Text,,,,Kanisius,,,Franklin,823,,,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700076>
Franklin Bermain Drama,rama,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702711>
Franklin Bermain Drama,rama,Text,,,,Kanisius,2002,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois >,<Cerita Anak>,<T703247>
Franklin Bermain Sepak Bola,Bola,Text,,,,Kanisius,ke-10,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T701371>
Franklin Bermain Sepak Bola,Bola,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702710>
Franklin dan Adik Bear,Bear,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T703091>
Franklin dan Adik Bear,Bear,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois >,<Cerita Anak>,<T703376>
Franklin dan Adiknya,knya,Text,,,,Kanisius,ke-10,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700414>
Franklin dan Adiknya - c2,#VALUE!,Text,,,,Kanisius,ke-12,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T701358>
Franklin dan Anak Besar,esar,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T703092>
Franklin dan Anak Besar,esar,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois >,<Cerita Anak>,<T703375>
Franklin dan Hujan Badai,adai,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702705>
Franklin dan Kamarnya,rnya,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702706>
Franklin dan Peri Gigi,Gigi,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702709>
Franklin dan Peri Gigi - c2,#VALUE!,Text,,,,Kanisius,ke-10,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T701362>
Franklin dan Peri  Gigi - c2,#VALUE!,Text,,,,Kanisius,2001,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702058>
Franklin dan Pesta Helowin,owin,Text,,,,Kanisius,ke-11,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T701372>
Franklin dan Pesta Helowin,owin,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702708>
Franklin di Hari Valentin,ntin,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702716>
Franklin Di Hari Valentine,tine,Text,,,,Kanisius,,,Franklin,823,,,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700081>
Franklin di Kegelapan,apan,Text,,,,Kanisius,2001,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702056>
Franklin Di Rumah Sakit,akit,Text,,,,Kanisius,,,Franklin,823,,,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700077>
Franklin di Rumah Sakit,akit,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702717>
Franklin Di Rumah Sakit - c2,#VALUE!,Text,,,,Kanisius,ke-12,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T701361>
Franklin Mau Memaafkan,fkan,Text,,,,Kanisius,2004,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702119>
Franklin Mau Menang Sendiri,diri,Text,,,,Kanisius,,,Franklin,823,,,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700353>
Franklin Mau Menang Sendiri,diri,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702715>
Franklin Naik Sepeda,peda,Text,,,,Kanisius,,,Franklin,823,,,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700079>
Franklin Naik Sepeda,peda,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702714>
Franklin Naik Sepeda - c2,#VALUE!,Text,,,,Kanisius,ke-10,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T701365>
Franklin Naik Sepeda - c3,#VALUE!,Text,,,,Kanisius,2001,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702057>
Franklin Pergi Ke Museum,seum,Text,,,,Kanisius,,,Franklin,823,,,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700078>
Franklin Pergi ke Museum,seum,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702718>
Franklin Pergi Ke Sekolah,olah,Text,,,,Kanisius,,,Franklin,823,,,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700075>
Franklin Pergi ke Sekolah,olah,Text,,,,Kanisius,2001,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702877>
Franklin Pergi ke Sekolah - c2,#VALUE!,Text,,,,Kanisius,ke-11,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T701370>
Franklin Sayang ibu, ibu,Text,,,,Kanisius,,,Franklin,823,,,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700080>
Franklin Sayang Ibu, Ibu,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702713>
Franklin Sayang Ibu - c2,#VALUE!,Text,,,,Kanisius,ke-12,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T701369>
Franklin Senang Membantu,antu,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T703090>
Franklin Senang Membantu,antu,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois >,<Cerita Anak>,<T703374>
Franklin Senang Membantu- c2,#VALUE!,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T704733>
Franklin Tersesat,esat,Text,,,,Kanisius,,,Franklin,823,,,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T700352>
Franklin Tersesat,esat,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702719>
Franklin Tersesat - c2,#VALUE!,Text,,,,Kanisius,ke-11,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T701363>
Franklin Tidak Tidur,idur,Text,,,,Kanisius,2009,,Franklin,823,,Yogyakarta,823,,,,<Sharon Jennings>,<Cerita Anak>,<T704697>
Frazzle,zzle,Text,,,,Alice Saputra Communications Co.,1996,,Seri Serendipity,823,,Bogor,823,,,,<Stephen Cosgrove>,<Cerita Anak>,<T701675>
Free Fall,Fall,Text,,,,Mizan Fantasi,2009,,Novel,823,,Bandung,823,,,,<Roderick Gordon><Brian Williams >,<Novel / Fiksi>,<T703127>
Fresh Fruit Fantasy Pudding,ding,Text,,,,Gramedia Pustaka Utama,2010,,Buku Masakan,641.8,,Jakarta,641.8,,,,<Hadi Tuwendi >,<Masak-kue>,<T703508>
Friendly (Bersahabat),bat),Text,,,,Kanisius,2000,,Feelings,155.4,,Yogyakarta,155.4,,,,<Janine Amos>,<Cerita Anak>,<T701979>
Friends Forever  - c2,#VALUE!,Text,,,,Open Doors,2011,,Buku Rohani,,,Jakarta,,,,,<Jan Vermeer>,<Buku Rohani>,<T704806>
Friends Forever - c1,#VALUE!,Text,,,,Open Doors,2011,,Buku Rohani,,,Jakarta,,,,,<Jan Vermeer>,<Buku Rohani>,<T704805>
Frog ( Katak ) - c2,#VALUE!,Text,,,,Bestari Kids,2008,,Animal Around Us - c2,597.6,,Jakarta,597.6,,,,<Setiawan G. Sasongko>,<Pengetahuan Anak>,<T700618>
Frog (Katak),tak),Text,,,,Bestari Kids,2008,,Animal Around Us,813,,Jakarta,813,,,,<Setiawan G. Sasongko>,<Cerita Anak>,<T700469>
Frog (Katak),tak),Text,,,,Bestari Buana Murni,2009,,Animal Around Us,597,,Jakarta,597,,,,<Setiawan G Sasongko >,<Pengetahuan Anak>,<T703577>
Fruit Cake,Cake,Text,,,,Gramedia Pustaka Utama,2010,,25 Resep Kue Paling Diminati,641.8,,Jakarta,641.8,,,,<Dapur Anissa >,<Masak-kue>,<T703499>
Fun Game,Game,Text,,,,Penebar Swadaya,2007,,Permainan,394.3,,Jakarta,394.3,,,,<Pepen Supendi>,<Aktivitas - Umum>,<T700545>
Fun Math,Math,Text,,,,Trans Media,2009,,Mudah & Senang Belajar Matematika,510,,Jakarta,510,,,,<Tim Optima Picture>,<Buku Pelajaran>,<T702564>
Future Science ( Sains Masa Depan ),an ),Text,,,,PT. Gramedia Pustaka Utama,2011,,Why ?,500,,Jakarta,500,,,,<Endah Nawang Novianti>,<Pengetahuan Anak>,<T705014>
Gabita dan Cermin Ajaib,jaib,Text,,,,Bestari Kids,2004,,Seri Fabel Mancanegara,398.5,,Jakarta,398.5,,,,<Khalisa S >,<Cerita Anak>,<T703433>
Gabita dan Cermin Ajaib,jaib,Text,,,,Bestari Kids,2004,,Seri Fabel Mancanegara,813,,Jakarta,813,,,,<Khalisa S >,<Cerita Anak>,<T703582>
Gabita dan Cermin Ajaib,jaib,Text,,,,Bestari Kids,,,Seri Fabel Mancanegara,398.5,,Jakarta,398.5,,,,<Khalisa S >,<Cerita Anak>,<T704282>
Gadis Gembala dan Penyapu Cerobong,bong,Text,,,,Bhuana Ilmu Populer,2011,,Dongeng Animasi,823,,Jakarta,823,,,,<Tim Penulis >,<Cerita Anak>,<T704682>
Gadis Kaya Yang Sombong,bong,Text,,,,Gramedia Pustaka Utama,2007,,Seri Kumbang,813,,Jakarta,813,,,,<Enid Blyton>,<Cerita Anak>,<T700591>
Gadis Kecil Bertudung Merah,erah,Text,,,,Nuansa,2009,,Seri Cerita Anak & Remaja,823,,Bandung,823,,,,<Tim Penulis                    >,<Cerita Anak>,<T702147>
Gadis Natal,atal,Text,,,,Gramedia Pustaka Umum,2008,,Fun Touch Teachs,813,,Jakarta,813,,,,<Moony>,<Cerita Anak>,<T701547>
Gadis Penjual Korek Api, Api,Text,,,,Gramedia Pustaka Utama,2005,,Fairy Tales,823,,Jakarta,823,,,,<Hans Christian Andersen>,<Cerita Anak>,<T702992>
Gadis Penjual Korek Api, Api,Text,,,,Bhuana Ilmu Populer,2010,,Dongeng Animasi,823,,Jakarta,823,,,,<Tim Penulis >,<Cerita Anak>,<T704162>
Gadis Yo-Yo (The Yo-Yo Girl),irl),Text,,,,Indeks,2011,,Kesehatan Emosi,152.4,,Jakarta,152.4,,,,<Joy Cowley >,<Cerita Anak>,<T704655>
Gagak yang Cerdik,rdik,Text,,,,Bestari Kids,2008,,Seri Hewan Petualang,813,,Jakarta,813,,,,<Bambang Joko Susilo>,<Cerita Anak>,<T702135>
Gagak yang Cerdik,rdik,Text,,,,Bestari Kids,2008,,Seri Hewan Petualang,813,,Jakarta,813,,,,<Bambang Joko Susilo >,<Cerita Anak>,<T703466>
Gagak yang Cerdik - c2,#VALUE!,Text,,,,Bestari Kids,2008,,Seri Hewan Petualang,813,,Jakarta,813,,,,<Bambang Joko Susilo>,<Cerita Anak>,<T702136>
Gagi Si Gajah Cerdik,rdik,Text,,,,Bestari Kids,2004,,Fabel Nusantara Lampung,813,,,813,,,,<Khalisa S.>,<Cerita Anak>,<T701005>
Gagi Si Gajah Cerdik,rdik,Text,,,,Bestari Kids,2004,,Fabel Nusantara Lampung,813,,Jakarta,813,,,,<Khalisa S >,<Cerita Anak>,<T703267>
Gagi Si Gajah Cerdik,rdik,Text,,,,Bestari Kids,2004,,Fabel Nusantara Lampung,398.5,,Jakarta,398.5,,,,<Khalisa S >,<Cerita Anak>,<T703441>
Gagi Si Gajah Cerdik - c2,#VALUE!,Text,,,,Bestari Kids,2004,,Fabel Nusantara Lampung,813,,,813,,,,<Khalisa S.>,<Cerita Anak>,<T701006>
Gagi Si Gajah Cerdik - c3,#VALUE!,Text,,,,Bestari Kids,2004,,Fabel Nusantara Lampung,813,,,813,,,,<Khalisa S.>,<Cerita Anak>,<T701007>
Gagi Si Gajah Cerdik - c4,#VALUE!,Text,,,,Bestari Kids,2004,,Fabel Nusantara Lampung,813,,,813,,,,<Khalisa S.>,<Cerita Anak>,<T701008>
Gagi Si Gajah Cerdik - c5,#VALUE!,Text,,,,Bestari Kids,2004,,Fabel Nusantara Lampung,813,,,813,,,,<Khalisa S.>,<Cerita Anak>,<T701009>
Gajah,ajah,Text,,,,Quality Press,,,Buku Mengenai Dunia Bintang,599,,,599,,,,<Jinny Johnson>,<Pengetahuan Anak>,<T700151>
Gajah,ajah,Text,,,,Quality Press,,,Memahami Tentang Satwa,599,,,599,,,,<Barbara Taylor Cork>,<Pengetahuan Anak>,<T700252>
Gajah,ajah,Text,,,,Elex Media Komputindo,2004,,Mengenal Satwa,599,,Jakarta,599,,,,<Patricia Kendell>,<Pengetahuan Anak>,<T700446>
Gajah,ajah,Text,,,,Kreasi Media,2008,,Seri Dunia Binatang,599,,Jakarta,599,,,,<Team Studio Kreasi Media>,<Pengetahuan Anak>,<T701334>
Gajah,ajah,Text,,,,Examedia,2008,,100 Fakta Tentang,599,,Bandung,599,,,,<Camilla de la Bedoyere>,<Pengetahuan Anak>,<T703704>
Gajah,ajah,Text,,,,Examedia,2008,,100 Fakta Tentang,599,,Bandung,599,,,,<Camilla de la Bedoyere >,<Pengetahuan Anak>,<T704367>
Gajah Selalu Ingat,ngat,Text,,,,Gramedia Pustaka Utama,1999,,Novel,813,,Jakarta,813,,,,<Agatha Christie>,<Novel / Fiksi>,<T701962>
Gajah si Raksasa Hutan,utan,Text,,,,Penebar Swadaya,2004,,Seri Mengenal Fauna,599,,Depok,599,,,,<Rudi Hartono >,<Cerita Anak>,<T704595>
Gajah Vs Badak,adak,Text,,,,Elex Media Kumputindo,2008,,Mana yang Terbaik,599,,Jakarta,599,,,,<Koen Setyawan>,<Pengetahuan Anak>,<T701432>
Gajah Vs Badak,adak,Text,,,,Elex Media Komputindo,2008,,Mana yang Terbaik ?,599,,Jakarta,599,,,,<Koen Setyawan>,<Pengetahuan Anak>,<T702784>
Galileo & Alam Semesta,esta,Text,,,,Quality Press,,,Seri Penemuan Ilmiah,925,,,925,,,,<Steven Parker>,<Pengetahuan Anak>,<T700175>
Galileo Galilei,ilei,Text,,,,Elex Media Komputindo,2005,,Seri Tokoh Dunia,925,,Jakarta,925,,,,<Klara Siauw>,<Pengetahuan Anak>,<T700376>
Galileo Galilei - c2,#VALUE!,Text,,,,Elex Media Komputindo,2008,,Seri Tokoh Dunia,925,,Jakarta,925,,,,<Lai Jai Chin>,<Pengetahuan Anak>,<T700671>
Galileo Galilei - c3,#VALUE!,Text,,,,Elex Media Komputindo,2008,,Seri Tokoh Dunia,925,,Jakarta,925,,,,<Lai Jai Chin>,<Pengetahuan Anak>,<T700672>
Galileo Galilei - c4,#VALUE!,Text,,,,Elex Media Komputindo,2001,,Seri Tokoh Dunia,925,,Jakarta,925,,,,<Lai Jai Chin>,<Pengetahuan Anak>,<T702223>
Gamelan,elan,Text,,,,Elex Media Kumputindo,2008,,Seri Pusaka Nusantara  9,781.6,,Jakarta,781.6,,,,<Aylawati Sarwono>,<Pengetahuan Anak>,<T701470>
Gamelan,elan,Text,,,,Elex Media Komputindo,2008,,Seri Pustaka Nusantara,781.6,,Jakarta,781.6,,,,<Aylawati Sarwono>,<Pengetahuan Anak>,<T702809>
Gang Way, Way,Text,,,,Gramedia Pustaka Utama,2008,,Novel,813,,Jakarta,813,,,,<Boim Lebom>,<Novel / Fiksi>,<T702681>
Gara - gara Mangga,ngga,Text,,,,Elex Media Kumputindo,2008,,Petualangan Tora & Hana,813,,Jakarta,813,,,,<Nur Ayati>,<Cerita Anak>,<T701457>
Gara-gara Weker Rusak,usak,Text,,,,Gramedia Pustaka Utama,2000,,Noddy,823,,Jakarta,823,,,,<Enid Blyton>,<Cerita Anak>,<T702914>
Garam dan Gula,Gula,Text,,,,Bhuana Ilmu Populer,2009,,Aku Suka Belajar‰Û_,664,,Jakarta,664,,,,<DongaScience >,<Pengetahuan Anak>,<T703343>
Gas - Hitler,tler,Text,,,,Angkasa,1983,,Disney's Ensiklopediku Yang Pertama,30,,Bandung,30,,,,<Tim Penulis >,<Cerita Anak>,<T703243>
Gaya & Energi,ergi,Text,,,,Quality Press,,,Penemuan Ilmu Pengetahuan,118,,,118,,,,<Alan ward>,<Pengetahuan Anak>,<T700235>
Gaya Dan Gerak,erak,Text,,,,Erlangga,2004,,Jagoan Sains,118,,Jakarta,118,,,,<John Graham>,<Pengetahuan Anak>,<T700748>
Gaya Dan Gerak - c2,#VALUE!,Text,,,,Erlangga,2004,,Jagoan Sains,118,,Jakarta,118,,,,<John Graham>,<Pengetahuan Anak>,<T700749>
Gaya Dan Gerak - c3,#VALUE!,Text,,,,Erlangga,2004,,Jagoan Sains,118,,Jakarta,118,,,,<John Graham>,<Pengetahuan Anak>,<T700750>
Gaya Dan Gerak - c4,#VALUE!,Text,,,,Erlangga,2004,,Jagoan Sains,118,,Jakarta,118,,,,<John Graham>,<Pengetahuan Anak>,<T700751>
Gaya Dan Gerak - c5,#VALUE!,Text,,,,Erlangga,2004,,Jagoan Sains,118,,Jakarta,118,,,,<John Graham>,<Pengetahuan Anak>,<T700752>
Gaya Hidup Sehat Tanpa Repot,epot,Text,,,,Andi,2012,,Sehat Itu Pilihan,,,Yogyakarta,,,,,<Yohanes Sunardi >,<Pengetahuan Dewasa>,<T704887>
Gejolak Masa Remaja,maja,Text,,,,Gaya Favorit Press,1997,,Novel Anak,823,,Jakarta,823,,,,<Suzanne Weyn>,<Novel / Fiksi>,<T703914>
Gejolak Masa Remaja - c2,#VALUE!,Text,,,,Gaya Favorit Press,1997,,Novel Anak,823,,Jakarta,823,,,,<Suzanne Weyn >,<Novel / Fiksi>,<T703915>
Gembala Riang ( Happy Shepherd ),rd ),Text,,,,Naura Booxs,2013,,Serial Bilingual,,,Jakarta,,,,,<Iwok Abqary >,<Cerita Anak>,<T704982>
Gempa Bumi,Bumi,Text,,,,Bhuana Ilmu Populer,2007,,Seri Penjelajahan Waktu,904,,Jakarta,904,,,,<Peter Dennis>,<Pengetahuan Anak>,<T700960>
Gempa Bumi,Bumi,Text,,,,Kanisius,2008,,Mengenal Bencana Alam,904,,Yogyakarta,904,,,,<Bambang Ruwanto>,<Pengetahuan Anak>,<T701428>
Gempa Bumi - c2,#VALUE!,Text,,,,Bhuana Ilmu Populer,2007,,Seri Penjelajahan Waktu,904,,Jakarta,904,,,,<Peter Dennis>,<Pengetahuan Anak>,<T700961>
Gempa Bumi dan Gunung Api, Api,Text,,,,Tiga Serangkai,2009,,Benua dan Fenomena Alam,904,,Solo,904,,,,<John Edwards >,<Pengetahuan Anak>,<T703740>
Genetika (Ilmu Tentang Pewarisan Ciri Makhluk Hidup),dup),Text,,,,Elex Media Komputindo,,,Dunia Sains,575.1,,,575.1,,,,<Ian Graham>,<Pengetahuan Anak>,<T700045>
